m1,m2,Lambda
0.01,71.81489932885907,-1.0645653127758994
0.01,72.48597315436243,-1.4171699531722117
0.01,73.15704697986578,-1.3973692154148556
0.01,73.82812080536914,-1.4347328547703848
0.01,74.4991946308725,-1.3774581566709674
0.01,75.17026845637584,-1.354078890721538
0.01,75.8413422818792,-1.013803144646873
0.01,76.51241610738255,-1.0198925319360643
0.01,77.1834899328859,-1.2173851718813296
0.01,77.85456375838926,-1.095733479595173
0.01,78.52563758389262,-1.1194016248586247
0.01,79.19671140939597,-1.2789545520365313
0.01,79.86778523489933,-1.4207331974387591
0.01,80.53885906040269,-1.2857983342954113
0.01,81.20993288590604,-1.3113006355375518
0.01,81.8810067114094,-1.349794346640543
0.01,82.55208053691275,-1.278782419371144
0.01,83.22315436241611,-1.11534482490881
0.01,83.89422818791947,-1.074669693212202
0.01,84.56530201342282,-1.1110791636142516
0.01,85.23637583892618,-1.2950691873586804
0.01,85.90744966442954,-1.2345544718892851
0.01,86.57852348993289,-1.1148545367057454
0.01,87.24959731543625,-1.1784326238320755
0.01,87.9206711409396,-1.5621130096009406
0.01,88.59174496644296,-1.370234481917513
0.01,89.26281879194632,-0.9967919615611904
0.01,89.93389261744967,-1.1051189867432123
0.01,90.60496644295303,-1.6593929982382642
0.01,91.27604026845638,-1.2965375492506555
0.01,91.94711409395974,-0.7409965027265494
0.01,92.6181879194631,-0.9339160020307294
0.01,93.28926174496645,-1.7188216147015223
0.01,93.96033557046981,-1.4211356361268555
0.01,94.63140939597317,-0.8642000277284515
0.01,95.30248322147652,-0.984643397626322
0.01,95.97355704697988,-1.6248309495101834
0.01,96.64463087248323,-1.41660582307198
0.01,97.31570469798658,-1.0293093896946066
0.01,97.98677852348993,-1.2054424579085607
0.01,98.65785234899329,-1.468129519173732
0.01,99.32892617449664,-1.1433053675750493
0.01,100.0,-0.8892501544236429
0.6810738255033557,0.01,1.6959109346012646
0.6810738255033557,0.6810738255033557,3.190260388802475
0.6810738255033557,1.3521476510067114,2.7215878402080658
0.6810738255033557,2.023221476510067,1.467744302548213
0.6810738255033557,2.6942953020134226,1.4087437144756543
0.6810738255033557,3.3653691275167783,1.0396725322455338
0.6810738255033557,4.036442953020134,0.06177028838936843
0.6810738255033557,4.707516778523489,-2.0965464267921003
0.6810738255033557,5.378590604026845,-2.7611995951218185
0.6810738255033557,6.049664429530202,-2.2070441944253765
0.6810738255033557,6.720738255033557,-1.3299204077285685
0.6810738255033557,7.391812080536912,-0.6776787746009938
