l1,l2,Lambda
0.1,40.178523489932886,1.5398249083860955
0.1,40.47986577181208,1.5399246210963833
0.1,40.78120805369127,1.540022205944266
0.1,41.08255033557047,1.5401175479510008
0.1,41.38389261744966,1.540210956888954
0.1,41.685234899328854,1.5403022614229298
0.1,41.98657718120805,1.5403916620198632
0.1,42.28791946308724,1.5404791649364014
0.1,42.58926174496644,1.5405647990073212
0.1,42.89060402684564,1.5406485962075194
0.1,43.19194630872483,1.5407306780581662
0.1,43.493288590604024,1.5408110409820184
0.1,43.79463087248322,1.5408897452039827
0.1,44.09597315436241,1.540966822463332
0.1,44.397315436241605,1.541042402610358
0.1,44.6986577181208,1.541116478518022
0.1,45.0,1.5411890012800236
0.40134228187919463,0.1,2.021112656942474
0.40134228187919463,0.40134228187919463,-0.2889958742349294
0.40134228187919463,0.7026845637583892,0.4963109300875425
0.40134228187919463,1.0040268456375838,-1.2341844766294607
0.40134228187919463,1.3053691275167785,1.2444875483197966
0.40134228187919463,1.6067114093959731,1.395527530039958
0.40134228187919463,1.9080536912751676,1.2554529092522562
0.40134228187919463,2.209395973154362,1.1067650893177856
0.40134228187919463,2.510738255033557,1.0029316391731795
0.40134228187919463,2.8120805369127515,0.9533633914696408
0.40134228187919463,3.113422818791946,0.9471627454482381
0.40134228187919463,3.414765100671141,0.9685380798000143
0.40134228187919463,3.716107382550335,1.004403807290372
0.40134228187919463,4.017449664429529,1.0460741535230014
0.40134228187919463,4.318791946308724,1.0884950358546444
0.40134228187919463,4.6201342281879185,1.1290254283420191
0.40134228187919463,4.921476510067113,1.1664632870994474
0.40134228187919463,5.222818791946308,1.2004052820366977
0.40134228187919463,5.5241610738255025,1.2308662915635606
0.40134228187919463,5.825503355704697,1.2580617488405963
0.40134228187919463,6.126845637583892,1.282290429237929
0.40134228187919463,6.428187919463086,1.3038709919732874
0.40134228187919463,6.729530201342281,1.3231119046905957
0.40134228187919463,7.030872483221476,1.3402964767593781
0.40134228187919463,7.3322147651006695,1.3556777690154278
0.40134228187919463,7.633557046979864,1.3694791712801122
0.40134228187919463,7.934899328859059,1.3818951434014373
0.40134228187919463,8.236241610738254,1.3930946145620378
0.40134228187919463,8.537583892617448,1.4032236731463046
0.40134228187919463,8.838926174496644,1.4124086666575848
0.40134228187919463,9.140268456375837,1.4207593922415354
0.40134228187919463,9.441610738255033,1.4283705664229436
0.40134228187919463,9.742953020134227,1.4353246037835663
0.40134228187919463,10.04429530201342,1.44169316074879
0.40134228187919463,10.345637583892616,1.4475386114329092
0.40134228187919463,10.64697986577181,1.4529155517489483
0.40134228187919463,10.948322147651005,1.4578718431394735
0.40134228187919463,11.249664429530199,1.46244954288221
0.40134228187919463,11.551006711409395,1.4666856579177434
0.40134228187919463,11.852348993288588,1.4706130026792816
0.40134228187919463,12.153691275167784,1.4742603552153721
0.40134228187919463,12.455033557046978,1.4776533767662385
0.40134228187919463,12.756375838926173,1.4808149796829073
0.40134228187919463,13.057718120805367,1.4837655588778167
0.40134228187919463,13.359060402684563,1.4865232396624732
0.40134228187919463,13.660402684563756,1.489104360465781
0.40134228187919463,13.961744966442952,1.4915235346757623
0.40134228187919463,14.263087248322146,1.4937940166915655
0.40134228187919463,14.56442953020134,1.4959275997675627
0.40134228187919463,14.865771812080535,1.4979349903354218
0.40134228187919463,15.167114093959729,1.499825897145025
0.40134228187919463,15.468456375838924,1.5016091840385992
0.40134228187919463,15.769798657718118,1.5032927178631068
0.40134228187919463,16.071140939597313,1.5048837955543737
0.40134228187919463,16.37248322147651,1.5063890353414804
0.40134228187919463,16.673825503355705,1.5078144497467385
0.40134228187919463,16.9751677852349,1.5091656213255955
0.40134228187919463,17.276510067114092,1.5104475740190555
0.40134228187919463,17.57785234899329,1.5116648774748975
0.40134228187919463,17.879194630872483,1.512821845341707
